Benzo[g]naphtho[2,1-b]chrysene;460
Benzo[g]naphtho[8,1,2-abc]coronene;576
Benzo[ghi]cyclopenta[cd]perylene;155
1H-Benzo[ghi]cyclopenta[pqr]perylene;134
Benzo[ghi]fluoranthene;35
Benzo[ghi]naphtho[2,1-a]perylene;400
Benzo[ghi]naphtho[2,1-b]perylene;404
Benzo[ghi]perylene;120
Benzo[h]naphtho[1,2,3,4-rst]pentaphene;564
Benzo[h]naphtho[7,8,1,2,3-pqrst]pentaphene;384
Benzo[h]pentaphene;281
Benzo[h]phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene;529
4H-Benzo[hi]chrysene;105
7H-Benzo[hi]chrysene;106
Benzo[i]pentahelicene;275
Benzo[ij]naphtho[2,1,8,7-defg]pentaphene;413
Benzo[j]benzo[2,1-a:3,4-a']dianthracene;604
Benzo[j]fluoranthene;70
Benzo[j]naphtho[8,1,2-abc]coronene;584
Benzo[jk]fluorene;18
Benzo[k]fluoranthene;71
Benzo[kl]naphtho[2,1,8,7-defg]pentaphene;412
Benzo[l]cyclopenta[cd]pyrene;107
Benzo[l]fluoranthene;70
Benzo[l]naphtho[1,2-b]chrysene;494
Benzo[l]naphtho[2,1-b]chrysene;496
Benzo[l]phenanthrene;36
Benzofluoranthene;35
1,2-Benzofluorene;30
2,3-Benzofluorene;31
3,4-Benzofluorene;29
Benzol;1
1H-Benzonaphthene;13
1,12-Benzoperylene;120
1,2-Benzoperylene;233
2,3-Benzoperylene;238
1,2-Benzophenanthrene;39
2,3-Benzophenanthrene;38
3,4-Benzophenanthrene;37
9,10-Benzophenanthrene;36
2,3-Benzopicene;302
3,4-Benzopyrene;74
6,7-Benzopyrene;74
3,4-Benzotetraphene;131
1,2-Benzperylene;233
1,2-Benzpyrene;74
4,5-Benzpyrene;74
2,3-Benztriphenylene;123
2,3:1',8'-Binaphthylene;71
3,4-(o,o'-Biphenylene)cyclopentadiene;23
3,4-(o,o'-Biphenylene)fluorene;248
o-Biphenylenemethane;11
Biphenylenephenanthrene;272
o-Biphenylmethane;11
Bisanthrene;313
Ceranthrene;99
homeo-Cerodianthrene;340
Cholanthrene;75
Cholanthrylene;64
Chrysene;39
Chryseno[2,1-b]picene;659
Chrysofluorene;30
Corannulene;53
Coronene;159
1,2-Cyclo-” 1',3 '-pentadienophenanthrene;27
1,2-Cyclo-” 1',4 '-pentadienophenanthrene;26
Cyclohexatriene;1
1H-Cyclopent[a]anthracene;25
1H-Cyclopent[b]anthracene;28
Cyclopent[b]indeno[4,5-g]phenanthrene;160
Cyclopent[b]indeno[5,6-g]phenanthrene;161
Cyclopent[i]indeno[5,6-a]anthracene;164
15H-Cyclopenta[a]phenanthrene;27
17H-Cyclopenta[a]phenanthrene;26
1H-Cyclopenta[a]pyrene;42
11H-Cyclopenta[a]triphenylene;80
8H-Cyclopenta[b]phenanthrene;24
Cyclopenta[cd]perylene;110
Cyclopenta[cd]pyrene;33
Cyclopenta[de]anthracene;20
Cyclopenta[de]naphthacene;66
13H-Dibenzo[a,c]fluorene;84
Dibenzo[a,c]naphthacene;282
Dibenzo[a,c]pentacene;467
Dibenzo[a,c]pentaphene;465
Dibenzo[a,c]picene;484
Dibenzo[a,c]tetraphene;286
Dibenzo[a,c]triphenylene;272
Dibenzo[a,cd]naphtho[8,1,2,3-fghi]perylene;524
Dibenzo[a,d]coronene;528
13H-Dibenzo[a,de]naphth[2,3-h]anthracene;369
4H-Dibenzo[a,de]naphthacene;253
4H-Dibenzo[a,de]pentacene;370
Dibenzo[a,e]fluoranthene;214
Dibenzo[a,e]pyrene;234
Dibenzo[a,f]fluoranthene;216
Dibenzo[a,f]perylene;328
Dibenzo[a,f]picene;446
Dibenzo[a,f]tetraphene;273
Dibenzo[a,g]coronene;543
13H-Dibenzo[a,g]fluorene;90
Dibenzo[a,ghi]naphtho[2,1,8-cde]perylene;523
Dibenzo[a,ghi]naphtho[2,1,8-lmn]perylene;527
Dibenzo[a,ghi]naphtho[8,1,2-klm]perylene;536
Dibenzo[a,ghi]perylene;262
13H-Dibenzo[a,h]fluorene;97
Dibenzo[a,h]pentaphene;438
Dibenzo[a,h]phenanthrene;131
Dibenzo[a,h]pyrene;244
13H-Dibenzo[a,i]fluorene;92
Dibenzo[a,i]pyrene;243
Dibenzo[a,j]coronene;551
Dibenzo[a,j]fluoranthene;221
Dibenzo[a,j]naphthacene;300
Dibenzo[a,j]perylene;337
Dibenzo[a,j]plcene;454
Dibenzo[a,j]tetracene;300
Dibenzo[a,jk]fluorene;70
Dibenzo[a,k]fluoranthene;217
Dibenzo[a,k]tetraphene;291
Dibenzo[a,l]fluoranthene;211
Dibenzo[a,l]naphthacene;297
Dibenzo[a,l]pentacene;509
Dibenzo[a,l]pyrene;232
Dibenzo[a,m]pentaphene;486
Dibenzo[a,m]tetraphene;279
Dibenzo[a,n]pentacene;501
Dibenzo[a,n]perylene;330
Dibenzo[a,n]picene;490
