Benzo[a]anthanthrene,268,"Benzo[b]naphtho[2,1-k]chrysene",502
Benzo[a]coronene,315,"Benzo[b]naphtho[2,1-p]chrysene",440
1H-Benzo[a]cyclopent[h]anthracene,81,"Benzo[b]naphtho[2,3-g]chrysene",439
9H-Benzo[a]cyclopent[i]anthracene,82,"Benzo[b]naphtho[2,3-j]chrysene",508
Benzo[a]cyclopenta[de]naphthacene,194,"Benzo[b]naphtho[2,3-l]chrysene",478
Benzo[a]cyclopenta[fg]naphthacene,199,"Benzo[b]naphtho[8,1,2-pqr]chrysene",343
Benzo[a]cyclopenta[hi]naphthacene,207,Benzo[b]pentahelicene,274
Benzo[a]cyclopenta[mn]naphthacene,198,Benzo[b]pentaphene,298
Benzo[a]cyclopenta[op]naphthacene,203,Benzo[b]perylene,238
Benzo[a]fluoranthene,68,Benzo[b]phenanthrene,38
11H-Benzo[a]fluorene,30,Benzo[b]picene,302
Benzo[a]fluorene,30,Benzo[b]triphenylene,123
Benzo[a]heptacene,610,"Benzo[bc]naphtho[1,2,3-ef]coronene",577
Benzo[a]hexacene,513,"Benzo[bc]naphtho[3,2,1-ef]coronene",574
Benzo[a]hexaphene,471,Benzo[c]chrysene,126
"Benzo[a]naphth[2,1-j]anthracene",279,Benzo[c]cyclopenta[hi]chrysene,190
Benzo[a]naphthacene,129,4H-Benzo[c]cyclopenta[mno]chrysene,143
"Benzo[a]naphtho[1,2,3,4-ghi]perylene",396,Benzo[c]cyclopenta[qr]chrysene,187
"Benzo[a]naphtho[1,2-c]naphthacene",468,7H-Benzo[c]fluorene,29
"Benzo[a]naphtho[1,2-h]anthracene",291,Benzo[c]fluorene,29
"Benzo[a]naphtho[1,2-j]naphthacene",488,Benzo[c]hexaphene,506
"Benzo[a]naphtho[1,2-l]naphthacene",500,"Benzo[c]naphtho[1,2-l]chrysene",495
"Benzo[a]naphtho[2,1,8-cde]perylene",380,"Benzo[c]naphtho[2,1-m]pentaphene",608
"Benzo[a]naphtho[2,1,8-hij]naphthacene",362,"Benzo[c]naphtho[2,1-p]chrysene",429
"Benzo[a]naphtho[2,1,8-lmn]perylene",386,"Benzo[c]naphtho[2,3-l]chrysene",477
"Benzo[a]naphtho[2,1-h]pyrene",368,"Benzo[c]naphtho[7,8,1,2,3-pqrst]pentaphene",419
"Benzo[a]naphtho[2,1-j]naphthacene",514,"Benzo[c]naphtho[8,1,2-ghi]chrysene",333
"Benzo[a]naphtho[2,1-l]naphthacene",456,Benzo[c]pentahelicene,278
"Benzo[a]naphtho[7,8,1,2,3-pqrst]pentaphene",407,Benzo[c]pentaphene,299
"Benzo[a]naphtho[8,1,2-cde]naphthacene",341,Benzo[c]phenanthrene,37
"Benzo[a]naphtho[8,1,2-klm]perylene",389,Benzo[c]picene,306
"Benzo[a]naphtho[8,1,2-lmn]naphthacene",360,Benzo[c]tetraphene,131
Benzo[a]pentacene,301,1H-Benzo[cd]fluoranthene,45
Benzo[a]pentaphene,289,"Benzo[cd]naphtho[3,2,1,8-pqra]perylene",314
Benzo[a]perylene,233,2H-Benzo[cd]pyrene,50
Benzo[a]phenanthrene,39,3H-Benzo[cd]pyrene,49
Benzo[a]picene,292,5H-Benzo[cd]pyrene,52
Benzo[a]pyranthrene,588,6H-Benzo[cd]pyrene,51
Benzo[de]cyclopent[a]anthracene,54,"Benzo[lm]naphtho[1,8-ab]perylene",394
Benzo[de]cyclopent[b]anthracene,56,"Benzo[lm]phenanthro[5,4,3-abcd]perylene",545
"Benzo[de]naphtho[2,1,8,7-qrst]pentacene",415,"Benzo[lmn]naphtho[2,1,8-qra]perylene",317
"Benzo[de]naphtho[3,2,1-mn]naphthacene",331,"Benzo[m]naphtho[8,1,2-abc]coronene",582
